"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"TRAVAGLINI_LUNG_NEUTROPHIL_CELL","TRAVAGLINI_LUNG_NEUTROPHIL_CELL",319,-0.534523493901207,-2.80174338072039,4.30790088065329e-31,4.5189880238053e-28,2.83414531621927e-28,3930,"tags=49%, list=22%, signal=39%","Fgd4/Sptan1/Mmp9/Plk3/Abtb1/Top1/Nfam1/Was/Jtb/Aqp9/Msrb1/Klf2/Cdk11b/Ubald2/Mrtfa/Tmcc3/Tnfrsf10b/Nap1l4/Vnn3/Pfkfb2/Adam8/Lrrk2/Reps2/Srgn/Hnrnpul1/Ncf4/Rbm47/Il1r2/Bcl6/Csnk1d/Trp53inp2/Mknk2/Trib1/Ndufa1/Ntng2/Clec4e/Rassf3/Pglyrp1/Nampt/Jaml/Gnai2/Stk38/Fgd3/Cnppd1/Fpr2/Lrp10/Chtop/Ifi205/Arrb2/Map1lc3b/Cdk2ap2/Lpar2/Rasgrp4/Slc35e2/Fpr1/Eif4ebp2/Zfp518a/Vsir/Smchd1/Orai2/Irak3/Pygl/Ccni/Mapkapk2/Il18rap/Ptgs2/Zbtb7a/P2ry13/Lamtor4/Ifrd1/Ppp3ca/Adgrg3/Cdc42se1/Igf1r/Lcp2/Cyp4f18/Mefv/Midn/Bcl3/Ftl1/Plin5/Kdm6b/Il1rap/Bri3/Dock11/Cr1l/Dok3/Socs3/Clec4d/Sec14l1/Bst1/Irs2/Plxnc1/Sorl1/Emb/Dnah17/S100a9/C5ar1/Per1/Chil1/Prex1/Basp1/Tlr2/Trem1/Entpd1/S100a8/Herc1/Nfe2/Xpo6/Cxcr1/Fam107b/C5ar2/Mcl1/Ccdc88b/Mxd1/Il17ra/G0s2/Rnf149/Tle3/Zdhhc18/Cebpz/Dennd3/Atg2a/Cpd/Sat1/Samsn1/Cxcr2/Sell/Ypel3/Supt16/Ankrd44/Phospho1/R3hdm2/Zfp638/Tlr6/Csf3r/Pan3/Ulk1/Pfkfb3/Cebpb/Fcgr2b/Tlr4/Arg1/Mmp25/Lrg1/Rnf145/Slc25a37/Msl1/Epc1/Nbeal2/Resf1/Cyth1/Creb5/Car4/Fth1/B4galt1/Brd4"
"HAY_BONE_MARROW_IMMATURE_NEUTROPHIL","HAY_BONE_MARROW_IMMATURE_NEUTROPHIL",183,-0.606979701762881,-3.02427555626034,6.09572067328611e-26,3.19720549313856e-23,2.00517127410727e-23,3154,"tags=55%, list=18%, signal=45%","Sertad2/Bhlhe40/Hpse/Sgk1/Rab1a/Ep300/Icam1/Map3k8/Hcar2/Rhoa/Il1b/Cd86/Tnfaip2/Rap2b/Nampt/Rbpj/Pcbp2/Zeb2/Hif1a/Il10ra/Phlda2/Il13ra1/Ddit3/Ccr1/Bnip3l/Hmox1/Ube2d3/Zfyve16/Riok3/Fuom/Rnf141/Foxo3/Id1/Lcp2/Bcl3/Ftl1/Zfp36l1/Kdm6b/Ptp4a1/Map3k2/Pid1/Fam91a1/Gna13/Ccl3/Ninj1/AA467197/Usp3/Rnf19b/C9orf72/Cep170/B3gnt5/Atp2b1/Gpx4/Relt/Cdkn1a/Rab20/Nfkbia/Dusp6/Gpcpd1/Sh2b3/Ptp4a2/Vmp1/Hbegf/Txnip/Nlrp3/Ier3/Bach1/G0s2/Tle3/Zfhx3/Arrdc4/Myo9b/Tmem127/Vegfa/Mapk6/Abca1/Rhoq/Bcl2l11/Pfkfb3/Cebpb/Fcgr2b/Upp1/Ddx3x/Slc8a1/Icosl/Rnf145/Arrdc3/Grina/Picalm/Thbd/Gab2/Plin2/Slc43a2/Klf10/Mafb/Usp12/Klf11/Notch2/Irf2bp2/Glul"
"HAY_BONE_MARROW_NEUTROPHIL","HAY_BONE_MARROW_NEUTROPHIL",422,-0.444448017558851,-2.40128426845356,4.0753740447693e-24,1.42502245765433e-21,8.93722378238882e-22,4304,"tags=54%, list=24%, signal=42%","Creg1/Klf4/Rilpl2/Atp5l/Fes/Agfg1/Acss2/Coro1c/Il10rb/Ap5b1/Ncf2/Aldh3b1/Atp5mpl/Elob/Spg21/Zfand5/Ly96/Med13l/Abhd5/Adam9/Slc16a3/Cd302/Glt1d1/Prrg4/Oaf/Iqgap1/Soat1/Fndc3b/Ube2d1/Rtn3/Wdfy3/Cyfip1/Jdp2/Glipr1/Atp6v0e/Ncf1/Sptssa/Pgam1/Prr13/Akirin2/Lcp1/Ubr4/Ano6/Ltb4r1/Ap1s2/Atp5k/Hnmt/Pgd/Gpr27/Tdrd9/Itgam/Hacd4/Fgd4/Dazap2/Lilra6/Gns/Cd163/Rnf130/Serpinb1a/Plec/Mbd2/Ehbp1l1/Nfam1/Aplp2/Chsy1/Sult1a1/Nfil3/Rab31/Aqp9/Mgst1/Msrb1/Apobr/Mctp1/Cklf/Pten/Ms4a6c/Vnn3/Atp2a2/Ets2/Tfec/Pycard/Zfp467/Nlrp12/Csgalnact2/Lrrk2/Acsl4/Skap2/Actr2/Tmem167/Arhgap26/Vapa/Srgn/Msn/Adap1/Tgfb1/Ncf4/Rbm47/Hipk3/Bcl6/Fosl2/Cfp/Trib1/Cd55/Clec4e/Ago4/Rab27a/Arl8a/Sdcbp/Gnai2/Thbs1/Fpr2/F5/Zfp516/Ifi205/Far1/Tnnt1/Tmtc2/Mettl9/Ivns1abp/Ccpg1/Rasgrp4/Fpr1/Eif4ebp2/Cd14/Tet2/Clec5a/Pla2g7/Sulf2/Nrg1/Fam102b/Irak3/Pygl/Emilin2/Ifngr1/Ptgs2/Stac3/P2ry13/Lamtor4/Klf7/Rhou/Mfsd1/Ptafr/Ereg/Evi5/Agtrap/Mpeg1/Eif4e3/Peli2/Mob3a/Mefv/Midn/Abracl/Alox5/Bri3/Kctd12/Vnn1/Mettl22/Cr1l/Taldo1/Dok3/Tgoln1/Sgms2/Clec4d/Lpgat1/Bst1/Irs2/Spidr/Lrmda/Emb/Tlr8/Chp1/S100a9/Rab11fip1/Snx10/Cd44/Gpat3/Nod2/Rp2/Basp1/Tlr2/Trem1/Eaf1/Entpd1/Wdr26/S100a8/Rxra/Cd33/Mcl1/Mob1a/Mxd1/Il17ra/Csta2/Mcemp1/Naip2/Pram1/Ogfrl1/Snx27/Cpd/Cmip/Samsn1/Cd1d1/Kif13a/Ptpn12/Sell/Gnaq/Tmem170b/Stk17b/Bnip2/Stx11/Tmed5/Ccnl1/Atp13a3/Csf3r/Tlr4/Mboat7/Lyst/Rassf2/Fbxl5/Sema4a/Serpinb2/Creb5/Padi4/Dmxl2/Ctsh/Dennd5a/Zdhhc20/Rab21"
"SU_HO_CONV_CENT_CHONDROSARCOMA_C6_LEUKOCYTE","SU_HO_CONV_CENT_CHONDROSARCOMA_C6_LEUKOCYTE",291,-0.502389242933499,-2.61482838235502,8.82665131626929e-24,2.31478930769162e-21,1.4517518612285e-21,5848,"tags=61%, list=33%, signal=42%","Casp1/Mgat1/Hcst/Rel/Ncoa4/Csf1r/Nrp1/Tyrobp/Nfkb1/Nfkbie/Foxn3/Hcls1/Acsl1/Stab1/Klf6/Gatm/Arhgap18/Gmfg/Frmd4b/Bcl2a1a/Creg1/Ctss/Metrnl/Rilpl2/Coro1c/Tnfrsf14/Ncf2/Themis2/Tnfrsf1b/Ly96/Chchd10/Asah1/Vsig4/Lpar6/Bid/Ppif/Adam9/Rgs10/C1qc/Hsd17b11/Clec7a/Lyz2/Slc16a10/Tnfaip3/Hk2/Lair1/Cd84/Rapgef1/Glipr1/Rnaset2a/Cd53/Lcp1/Dab2/Ap1s2/Hnmt/Mpp1/Ccl4/Dazap2/Mmp9/Ms4a4a/Gns/Taok3/Cd163/Rnf130/Fnip2/Ampd3/Cmtm6/Was/Prdm1/Ostf1/Fyb/C1qa/Sgk1/Capza1/M6pr/Sqor/Ms4a6c/Ets2/Rhog/Pde4b/Csgalnact2/Rap1a/Adam8/Rb1/Srgn/Map3k8/Ncf4/Rbm47/Fosl2/Glrx/Elf1/Il1b/Cd86/Tnfaip2/Rap2b/Celf2/Sdcbp/Zeb2/Cxcl1/Stx7/Arrb2/Ptprc/Ms4a7/Il10ra/Cd14/Cxcr4/Msr1/Cxcl2/Mfsd1/Ccl20/Stk4/Rala/Fnbp1/Gpsm3/Lcp2/Lyn/Irf8/Plek/Abracl/Kdm6b/Kctd12/Cd300a/Gna13/Sec14l1/Ccl3/AA467197/S100a9/Arid5a/Snx10/Cd44/C5ar1/Fmnl1/Slco2b1/Mbp/Birc3/Rab20/Nfkbia/Dusp6/Trem1/Hbegf/Fam107b/Nlrp3/Mob1a/Mxd1/G0s2/Csta2/Rnf149/Myo9b/Ogfrl1/Samsn1/Ptpn1/Wipf1/Tnfaip8/Gnaq/Stk17b/Abca1/Cxcl16/Apoe/Stx11/Cytip/Atp13a3/Pfkfb3/Fcgr2b/Ucp2/Mgat4a/Snx9/Iqgap2/Havcr2/Ppp1r18/Thbd/Cflar/Cxcl3/Baz1a/Plin2/Adap2/Ctsh/Usp12/Crem"
"GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL","GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL",292,-0.49066322116679,-2.56075388095859,1.83285856846445e-22,3.84533727663841e-20,2.41165601113743e-20,4762,"tags=60%, list=27%, signal=44%","Slc23a2/Rgs19/Casp1/Siglec1/Hcst/Sla/Csf1r/Tyrobp/Cd40/Atp11a/Prmt9/Nfkbie/Hcls1/Wdfy4/Stab1/Gatm/Slamf7/Ripor1/Vps9d1/Gmfg/Stk26/Bcl2a1a/Slc7a5/Creg1/Metrnl/Rilpl2/Fes/Icam4/Ncf2/Tnfrsf1b/Lpar6/Ppif/C1qc/Maf/Jmy/Peli1/Nckap1l/Clec7a/Lyz2/Coro7/Tnfaip3/Cd84/Plcb2/Nr4a2/Ncf1/Nsmaf/Gnl3/Plcg2/Slc8b1/Btk/Pik3ap1/Cd53/Abcg1/Lcp1/Dab2/Pgd/Itgam/Ccl4/Mmp9/Ms4a4a/Cd163/Nfam1/Was/Slc9a9/Ctsl/Fyb/Hck/C1qa/Tbxas1/Sppl2a/Sgk1/Ms4a6c/Tfec/Pde4b/Icam1/Srgn/Ncf4/Il1r2/Hcar2/Cmklr1/Cfp/Il1b/Cd86/Tnfaip2/Rap2b/Ctsc/Nampt/Wdfy2/Vav1/Snx20/Cxcl1/Rhbdf2/Arrb2/Ptprc/Ms4a7/Fli1/Fpr1/Atf5/Cd14/Abraxas2/Cxcr4/Pla2g7/Ccr1/Il23a/Hmox1/Ikzf1/Ifngr1/Ptgs2/Cxcl2/Mfsd1/Ptafr/Mpeg1/Gpsm3/Lcp2/Lyn/Irf8/Plek/F13a1/Csf2rb2/Cd300a/Cr1l/Traf1/Ipmk/Ccl3/Inhba/Irs2/Dnase1l3/Marchf1/Plxnc1/Ninj1/Snx10/C5ar1/Fmnl1/Slco2b1/Chil1/Birc3/Gpr132/Tlr2/Dusp6/Sh2b3/Inpp5d/Cd33/Nlrp3/Gpr34/Ric1/Naip2/Cd209b/Ogfrl1/Osm/Samsn1/Wipf1/Abi3/Abca1/Cxcl16/Stx11/Csf3r/Pfkfb3/Cebpb/Fcgr2b/Tlr4/Edem1/Ucp2/Il1a/Uvrag/Mertk/Slc25a37/Havcr2/Runx3/Thbd/Arl4c/Plin2/Rassf5/Adap2/Mafb"
"FAN_OVARY_CL13_MONOCYTE_MACROPHAGE","FAN_OVARY_CL13_MONOCYTE_MACROPHAGE",428,-0.432093479456402,-2.34727485778487,4.93153433718799e-22,8.62196586618366e-20,5.4073841416535e-20,5009,"tags=45%, list=28%, signal=33%","Rab7/Atp5mpl/Themis2/Pet100/Tnfrsf1b/Spcs3/Ly96/Chchd10/Asah1/Vsig4/Bid/Ppif/Clic1/Tpm3/Actr3/Elof1/Slc16a3/Rgs10/Ifngr2/Pgk1/Clec7a/Fgr/Lyz2/Hspe1/Iqgap1/Bax/Atp5md/Bzw1/Ube2r2/Dnttip2/Vps29/Pde4dip/Glipr1/Rnaset2a/Atp6v0e/Ahr/Gng5/Tagln2/Cd53/Prr13/Lcp1/Ap1s2/Mpp1/Ppp4c/Rap1b/Jarid2/Abi1/Dazap2/Mmp9/Taok3/Rnf130/Fnip2/Serpinb1a/Cmtm6/Wtap/Zfand2a/Cdc42/Was/Osbpl8/Ctsl/Cfd/Ostf1/C1qa/Arpc3/Rab8b/Sqstm1/Capza1/M6pr/Olr1/Cklf/Ms4a6c/Txnrd1/Ets2/Acot10/Pycard/Rhog/Rap1a/Acot9/Actr2/Litaf/Tmem167/Ywhaz/Tpd52l2/Srgn/Msn/Map3k8/Rbm47/Elf1/Pabpc1/Rhoa/Cfp/Pkib/Cd86/Ctsc/Nampt/Sdcbp/Jaml/Gnai2/Zeb2/Hspa1a/Cxcl1/Ifi205/Arrb2/Ptprc/Ms4a7/Hspb1/Bloc1s2/Tnip1/Il10ra/Atf5/Casp4/Cd14/Cxcr4/Abl2/Bnip3l/Hmox1/Zfyve16/Ifngr1/Map2k1/Lamtor4/Rab8a/Naa50/Ccr7/Mfsd1/Lims1/Stk4/Cdc42se1/Rala/Fnbp1/Gpsm3/Ftl1/Plek/Abracl/Akap13/Bri3/Ehd1/Rbx1/Rab10/Taldo1/Mtpn/Ezr/Ninj1/AA467197/S100a9/Cd44/Gpat3/Atp2b1/Gpx4/Mbp/Cdkn1a/Nfkbia/Basp1/Gsto1/Cox17/Ptp4a2/Mob1a/Ier3/Btg1/G0s2/Csta2/Spag9/Myo9b/Hsp90aa1/Sat1/Fabp5/Lrrfip1/Samsn1/Ptpn1/Wipf1/Tnfaip8/Cxcl16/Stx11/Cytip/Snap23/Atp13a3/Cebpb/Fcgr2b/Upp1/Cacybp/Rnf145/Havcr2/Grina/Ppp1r18/Arl4c/Cflar/Baz1a/Plin2/Mafb/Fth1/Ctsh/Crem/B4galt1"
"CUI_DEVELOPING_HEART_C8_MACROPHAGE","CUI_DEVELOPING_HEART_C8_MACROPHAGE",258,-0.507906709879231,-2.60408954439847,1.07800414684315e-21,1.61546621434067e-19,1.01316179214582e-19,5205,"tags=55%, list=29%, signal=39%","Creg1/Ctss/Metrnl/Rilpl2/Fes/Ncf2/Themis2/Tnfrsf1b/Ly96/Vsig4/Lpar6/Tpm3/Rgs10/C1qc/Maf/Clec7a/Lyz2/Iqgap1/Lair1/Plcb2/Nr4a2/Glipr1/Rnaset2a/Pik3ap1/Cd53/Junb/Prr13/Lcp1/Itgam/Dazap2/Ms4a4a/Cd163/Rnf130/Serpinb1a/Apbb1ip/Was/Dock8/Ostf1/Rab31/Fyb/Hck/C1qa/Arpc3/Tbxas1/Sgk1/C3ar1/Ms4a6c/Pycard/Rhog/Skap2/Actr2/Litaf/Rb1/Srgn/Map3k8/Ncf4/Rbm47/Glrx/Mknk2/Elf1/Pabpc1/Cd86/Ctsc/Arhgap30/Nampt/Jaml/Gnai2/Hspa1a/Ifi205/Arrb2/Ptprc/Herpud1/Ms4a7/Il10ra/Il13ra1/Fpr1/Cd14/Cxcr4/Vsir/Msr1/Ikzf1/Mfsd1/Ptafr/Mpeg1/Gpsm3/Lcp2/Zfp36l2/Lyn/Irf8/Zfp36l1/Plek/Il16/Alox5/F13a1/Cd300a/Pnrc1/Gna13/Grk2/Ccl3/Marchf1/Rin3/Ninj1/S100a9/C5ar1/B3gnt5/Fmnl1/Slco2b1/Cdkn1a/Prex1/Nfkbia/Basp1/Tlr2/Sh2b3/S100a8/Pmaip1/Hbegf/Inpp5d/Syk/Nlrp3/Mcl1/Ier3/Gpr34/Csta2/Naip2/Pram1/Samsn1/Wipf1/Stk17b/Cxcl16/Csf3r/Cebpb/Fcgr2b/Ucp2/Il6ra/Iqgap2/Ppp1r18/Retn/Baz1a/Adap2/Mafb/Glul"
"DESCARTES_FETAL_LIVER_HEPATOBLASTS","DESCARTES_FETAL_LIVER_HEPATOBLASTS",357,0.489011156385648,2.29747880625517,1.04482005720698e-19,1.37002030001266e-17,8.59227020729426e-18,3391,"tags=37%, list=19%, signal=31%","Fga/Plg/Slco1b2/Ttr/Saa4/C4bp/Uroc1/Gc/Bbox1/Onecut2/Fgg/Aldob/Mat1a/Pah/Apoc3/Apoa5/Slc38a11/Fgl1/Vtn/Fetub/Hmgcs1/Pcsk9/Mlip/Akr1d1/Sema4g/Ddc/Agxt/Slc2a2/Serpinc1/Fads6/Ace2/Krt222/Slc38a3/Ppargc1a/Hal/Cfhr1/Slc22a3/Mttp/Capn12/Gys2/Foxp2/Gpc3/Cyp3a11/Slc6a11/Kng2/Slc6a1/C8a/Reep6/Shh/Chdh/Hpx/Gldc/Slc15a1/Ppp1r1c/Creb3l3/Sall1/Apoa2/Gjb1/Aadac/Mab21l4/Itih2/Nr1i3/Apoc1/Fbp1/Slc38a4/Tdo2/Fgfr3/Slc22a19/Apof/Erbb3/G6pc/Tmprss6/Camsap3/Asgr1/Angptl3/Elovl2/Rgn/Serpina1b/Bhmt/Itih3/Slc17a4/Adh1/Itih1/Cp/Cps1/Ttc36/Aldh1a7/Gcgr/Dpys/Wdr72/Hsd17b2/F2/Msmo1/Pebp1/Ugt2b1/Apom/Anks4b/Dbi/Fgb/Apoa1/Tenm1/Ggcx/Tmem54/Sgip1/Afp/Ffar4/Tjp3/Slc19a3/Bdh1/Acox2/Thrb/Cpn2/Dhcr7/Slc6a12/Habp2/Hjv/Pdzk1/Sc5d/Cyp19a1/Rhbg/Gltpd2/Pecr/Ttpa/Sptlc3/Tm7sf2/Gpt/Palmd/Aldh1l1/Adh4/Trim55/Nuggc/Klkb1/Mep1a"
"TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL","TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL",260,-0.474659793197379,-2.43114255452285,2.21468909282063e-18,2.58134317596538e-16,1.61892477545368e-16,4811,"tags=55%, list=27%, signal=41%","Tnfrsf1b/Zfand5/Asah1/Tet3/Map3k1/Peli1/Glt1d1/Clec7a/Fgr/Lyz2/Iqgap1/Hk2/Prkag2/Rac1/Rtn3/Ube2r2/Jdp2/Acap2/Ahr/Ncf1/Insr/Ap1s2/Pgd/Itgam/Fgd4/Gns/Cd163/Rnf130/Plec/Mbd2/Ehbp1l1/Nfam1/Aplp2/Sult1a1/Rab31/Mgst1/Hck/Ms4a6c/Ets2/Tfec/Cux1/AB124611/Pycard/Zfp467/Nadk/Trip12/Lrrk2/Skap2/Actr2/Tpt1/Rbm47/Hipk3/Pabpc1/Cfp/Cd86/Tnfaip2/Ago4/Rassf3/Rogdi/Zeb2/Thbs1/Ifi205/Arrb2/Far1/Il13ra1/Fpr1/Nacc2/Cd14/Tet2/Sulf2/Ccr1/Nrg1/Irak3/Pygl/Dicer1/Emilin2/Ifngr1/P2ry13/Mfsd1/Agtrap/Cast/Mpeg1/Trim25/Lyn/Mef2a/Adgre5/Bri3/Kctd12/Cr1l/Dok3/Ear6/Lpgat1/Slc12a6/Usp15/Irs2/Marchf1/Tlr8/Apaf1/S100a9/Usp3/C9orf72/C5ar1/Per1/Tlr2/Dusp6/Entpd1/S100a8/Rxra/Vmp1/Nfe2/Cd33/Syk/Nlrp3/Mcl1/Il17ra/Bach1/Csta2/Rnf149/Pram1/Snx27/Sat1/Cd1d1/Gnaq/Hrh2/Tmem170b/Stk17b/Sptlc2/Csf3r/Cebpb/Fcgr2b/Tlr4/Zfp106/Il6ra/Rassf2/Slc8a1/Fbxl5/Picalm/Cd300lf/Creb5/Jmjd1c/Mafb/Dmxl2/Notch2"
"HU_FETAL_RETINA_MICROGLIA","HU_FETAL_RETINA_MICROGLIA",356,-0.43175739421212,-2.29221332879309,3.3731516167288e-18,3.53843604594852e-16,2.21917869521632e-16,4938,"tags=45%, list=28%, signal=33%","Tnfrsf1b/Ly96/Vsig4/Lpar6/Selplg/Actr3/Adam9/Rgs10/C1qc/Maf/Nckap1l/Clec7a/Lair1/Rac1/Cd84/Plcb2/Nr4a2/Bhlhe41/Cyfip1/Glipr1/Rnaset2a/Pip4k2a/Atp6v0e/Gng5/Cd53/Junb/Prr13/Lcp1/Itgam/Rap1b/Ccl4/Cmtm6/Plscr1/Apbb1ip/C3/Was/Dock8/Ostf1/Rab31/Fyb/Dock10/Mbnl1/Hck/Klf2/C1qa/Arpc3/Tbxas1/Sgk1/C3ar1/Sipa1/Olr1/Nfe2l2/Ets2/Abhd12/Ddx5/Pycard/Rhog/Rap1a/Skap2/Actr2/Rb1/Tpt1/Srgn/Msn/Ncf4/Glrx/Elf1/Pabpc1/Rcsd1/Rhoa/Ppp1r15a/Cd86/Ctsc/Bin2/Arhgap30/Gnai2/Hspa1a/Vav1/Klf3/Rhbdf2/Ifi205/Arrb2/Ptprc/Herpud1/Ms4a7/Il10ra/Il13ra1/Fpr1/Cd14/Vsir/Milr1/Ccr1/Hmox1/Ikzf1/Gsn/Ifngr1/P2ry13/Itsn2/Mfsd1/Ptafr/Lims1/Stk4/Mpeg1/Cd164/Gpsm3/Lcp2/Zfp36l2/Lyn/Irf8/Mef2a/Ftl1/Zfp36l1/Lpcat2/Plek/Akap13/Alox5/Kctd12/Lpar5/Cd300a/Gna13/Grk2/Ccl3/Sorl1/Ninj1/B3gnt5/Slco2b1/Cdkn1a/Prex1/Nfkbia/Sh2b3/Entpd1/Mylip/Inpp5d/Syk/Txnip/Mob1a/Gpr34/Myo9b/Ogfrl1/Sat1/Samsn1/Abi3/Cxcl16/Ccnl1/Stk10/Csf3r/Arhgap45/Cebpb/Fcgr2b/Tlr4/Ucp2/Il6ra/Mgat4a/Mertk/Havcr2/Ppp1r18/Tut7/Adap2/Glul"
"SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C0_M1_MACROPHAGE","SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C0_M1_MACROPHAGE",234,-0.480692154580989,-2.43888231912207,2.8488589667025e-17,2.71677550551903e-15,1.70386301836274e-15,3856,"tags=44%, list=22%, signal=35%","Ms4a4a/Cd163/Rnf130/Fnip2/Top1/Dnajb6/Wtap/Ctsl/Rab31/C1qa/Sgk1/Olr1/Ms4a6c/Nfe2l2/Atp2a2/Ets2/Pde4b/Icam1/Litaf/Srgn/Map3k8/Rbm47/Ell2/Ppp1r15a/Il1b/Trib1/Tnfaip2/Nampt/Sdcbp/Zeb2/Gpr84/Hspa1a/Hif1a/Cxcl1/Rhbdf2/Ifi205/Herpud1/Ms4a7/Fpr1/Cd14/Msr1/Abl2/Rtn4/Ptgs2/Cxcl2/Mfsd1/Ccl20/Wsb1/Mpeg1/Lcp2/Midn/Lyn/Irf8/Zfp36l1/Plek/Kdm6b/Akap13/Kctd12/Pnrc1/Id2/Socs3/Gna13/Sec14l1/Ccl3/Ppp1r15b/C5ar1/B3gnt5/Slco2b1/Cdkn1a/Prex1/Nfkbia/Tlr2/Dusp6/Sh2b3/Hbegf/Nlrp3/Mcl1/Mxd1/Ier3/Gpr34/G0s2/Rnf149/Zfhx3/Ogfrl1/Osm/Sat1/Abca1/Cxcl16/Rhoq/Stx11/Pfkfb3/Cebpb/Fcgr2b/Aff4/Mertk/Mafg/Thbd/Cflar/Cxcl3/Slc43a2/Adap2/Mafb/Irf2bp2"
"AIZARANI_LIVER_C23_KUPFFER_CELLS_3","AIZARANI_LIVER_C23_KUPFFER_CELLS_3",207,-0.507081826400137,-2.57495964152019,5.71404435909686e-17,4.61079425591739e-15,2.89172285379396e-15,4023,"tags=47%, list=22%, signal=37%","Ap1s2/Mpp1/Itgam/Jarid2/Cd163/Rnf130/Serpinb1a/Nfam1/Aplp2/Was/Cntrl/Cfd/Rab31/Fyb/Hck/Pten/Rhog/Nlrp12/Csgalnact2/Lrrk2/Skap2/Ccdc69/Srgn/Il1r2/Bcl6/Cfp/Il1b/Tnfaip2/Cd55/Clec4e/Nampt/Sdcbp/Jaml/Gnai2/Zeb2/Thbs1/Ptk2b/Hspa1a/Ifi205/Arrb2/Fpr1/Cd14/Calm2/Tet2/Vsir/Ccr1/Irak3/Emilin2/Ptgs2/Ptafr/Lims1/Ereg/Mpeg1/Lyn/Plek/Alox5/Kctd12/Taldo1/Dok3/Grk2/Rock1/Ccdc88a/Ripor2/Usp15/Irs2/Marchf1/S100a9/Cd44/C5ar1/Atp2b1/Prex1/Nfkbia/Basp1/Tlr2/Dusp6/Trem1/S100a8/Vmp1/Areg/Trps1/Il17ra/Zfp281/Csta2/Naip2/Tmem127/Sat1/Lrrfip1/Samsn1/Sell/Sptlc2/Csf3r/Fcgr2b/Rassf2/Slc25a37/Creb5/Slc43a2/Mafb/Fth1"
"DESCARTES_FETAL_CEREBELLUM_MICROGLIA","DESCARTES_FETAL_CEREBELLUM_MICROGLIA",493,-0.379009165124563,-2.08261553692106,5.44276469274394e-17,4.61079425591739e-15,2.89172285379396e-15,4834,"tags=42%, list=27%, signal=32%","Cd28/Selplg/Tmem119/Pik3r5/Adam9/Rgs10/Txlnb/C1qc/Maf/Nckap1l/Jak3/Pik3cd/Clec7a/Lyz2/Spn/Hk2/Lair1/Snai3/Cd84/Pla2g15/Spns3/Plcb2/Bhlhe41/Cep295nl/Glipr1/Rnaset2a/Lag3/Plcg2/Btk/Pik3ap1/Cd53/Slc22a18/Stat5a/Lcp1/Pdk4/Itgam/Lilra6/Arhgap12/Ms4a4a/Cd163/Ampd3/Tnfaip8l2/Nfam1/Apbb1ip/C3/Was/Dock8/Ly75/Slc9a9/Ctsl/Cfd/Fyb/Hck/Siglece/Apobr/C1qa/Tbxas1/Sp140/Hpse/C3ar1/Dapp1/Smpdl3a/Olr1/Mmrn1/Tnfrsf10b/Ms4a6c/Tm6sf1/Tex14/Mr1/Tfec/Dennd1c/St14/AB124611/Crybb1/Sh3bp1/P2rx1/Slc2a5/Skap2/Icam1/Kcnk13/Map3k8/Diaph2/Ncf4/Rbm47/Ell2/Arl11/Il1b/Cd86/Zmynd15/Ctsc/Bin2/Trpm2/Il12rb1/Arhgap30/Gpr84/Vav1/Snx20/Rab39/Rhbdf2/Ifi205/Arrb2/Ptprc/Ms4a7/Osbpl11/Il10ra/Tlr7/Rasgrp4/Fpr1/Casp4/Cd14/Rabep1/Pla2g7/Milr1/Ccr1/Gbgt1/Hmox1/Fam102b/Ikzf1/Ptgs1/Ifngr1/P2ry13/Dpp4/Mfsd1/Ptafr/Irak2/Ms4a14/Mpeg1/Lcp2/Mefv/Lyn/Arl5c/Irf8/Ftl1/Lpcat2/Plek/Alox5/Csf2rb2/Fmn1/Lpar5/Gab3/Dok3/Itgal/Map3k5/Lrmda/P2ry6/Rin3/Sorl1/Tbc1d12/Ninj1/S100a9/Arid5a/Rasl10a/Sgk3/Kcnk6/C5ar1/B3gnt5/Fmnl1/Tmem156/Chil1/Pdcd1lg2/Cdkn1a/Rab20/Gpr132/Pik3cg/Tlr2/Bmp2k/Hrh1/Entpd1/Cd33/Syk/C5ar2/Nlrp3/Ccdc88b/Il17ra/Gpr34/Erp27/Pram1/Osm/Tnfsf14/Tmc8/Samsn1/Sell/Cxcl16/Apoe/Cdcp1/Tlr6/Cytip/Rhoh/Csf3r/Fcgr2b/Tlr4/Nlrc4/Ucp2/Il1a/Il6ra/Mertk/Cd274/Nmrk1/Havcr2/Elf4/Spatc1/Cd300lf/Gab2/Adap2/Mafb/B4galt1/Ceacam15"
